student_id,bahasa_indonesia,bahasa_inggris,matematika,informatika,ipa,ips,ppkn,penjas,seni,gpa,riasec_r,riasec_i,riasec_a,riasec_s,riasec_e,riasec_c,program_id,program_name
STU_0001,71.1434380109503,62.98692310928764,28.19921579690238,85.30517555355664,82.24667621426991,59.71348802860967,69.43540116570895,69.09111795456994,77.96656198292592,67.34311086853126,26.657438583436956,53.8268262162726,88.34849550640165,87.12618341767832,68.02946239171781,43.69796231386223,52,Pendidikan Tari
STU_0002,84.98954228545388,69.47921024369606,87.70161430640252,90.95125784317136,92.31119777024837,62.89672253964488,69.53529239906837,61.51292867179302,47.54588788654569,74.1026282162249,14.324552127085127,72.28404368214478,52.843771496566404,44.70653787007121,64.26661580546919,75.0041333159581,47,Pendidikan Teknik Informatika
STU_0003,59.06176741321883,75.36233483042949,95.3846657999541,91.7136828118997,83.72786889372935,60.48344456616067,49.30069213485602,61.92218108247408,52.6297796646434,69.95404635526285,74.8380333031448,72.3074688525292,39.870538945238266,20.349876200347733,57.50636314005706,41.483958513442694,60,Teknik Elektro Industri
STU_0004,84.05997356693683,70.51400931874511,81.7652260501504,74.91846710452518,97.09611673363302,62.33401818094017,64.2546336783918,88.51602882580981,45.62867296870915,74.34301626976016,87.68546671462698,71.43337234382119,31.613146591536264,41.98547353655647,65.65298151512029,75.73198796130514,60,Teknik Elektro Industri
STU_0005,100.0,63.034919534124114,66.02042414977198,69.0870386878788,50.71874312112896,95.42491617339421,91.93885739688426,76.24700430380794,64.51816964857093,75.22111922395125,27.546041481814214,59.090355059661775,71.67556240506946,99.5471455667513,92.94521103460168,79.05817502391983,35,Pendidikan Luar Biasa
STU_0006,74.20600923828273,55.72848479083413,68.56728725641476,84.43961934999554,68.85461344744503,77.25957069253496,78.04244040178814,85.4130822698364,68.4192950825748,73.43671139218961,32.05935355022797,69.47504599209648,89.8847969237017,78.51671094774687,85.75956460453135,52.67613579183199,43,Pendidikan Tata Rias Dan Kecantikan
STU_0007,57.60018035334461,68.53161080405033,71.20199676862522,62.768118230897336,71.74200003667588,81.252661138589,100.0,77.2695115668139,77.6057054701187,74.21908715212388,40.29470216241411,42.43782062241458,58.55344332477491,83.13266326615867,70.06136147970953,72.18495439949824,1,Administrasi Pendidikan
STU_0008,82.13882802053675,73.95886464041764,66.1379178936926,92.06921682205889,85.98690562823957,48.014890300335466,94.24427129523812,100.0,97.3177837671611,82.20763092974225,39.106649010805995,59.81448214659878,72.34474636639794,65.9000745537811,80.48898778462971,49.227463390388394,52,Pendidikan Tari
STU_0009,67.43231017764276,75.99963433159942,64.5985127669501,83.8474391251293,97.59907430517693,93.7358941563538,82.10058780314151,71.24798914117694,81.08721425680748,79.73873956266424,30.69596672851667,79.27769027067099,50.37806587980367,100.0,86.86246367053826,76.70790904190284,55,Psikologi
STU_0010,88.47980362907312,77.67345174208671,46.90426637286018,57.612047902761155,81.11860952567827,57.47364505769963,76.5467203946478,90.00582729314526,86.5242086225926,73.59317561561608,25.32551755989632,48.27845324443173,92.40404530858156,89.98728838967894,75.7877898973347,64.03049176343147,52,Pendidikan Tari
STU_0011,84.48962804364689,88.33493705101526,50.10275887970076,90.36083740830748,60.20465484024038,61.77877468210984,38.56706038485911,64.55869035483558,73.93200277488558,68.03659382440009,81.57772698794122,67.22202616564392,56.304541595528626,66.26916376433313,66.04800058855686,57.27933053340766,9,Geografi
STU_0012,74.04206593399633,50.82180520597185,78.28219250506741,90.54408257829076,81.36446040986809,84.35011153098614,77.53144005168794,100.0,63.50024688243115,77.8262672331444,80.40012032480917,84.23972831916952,45.22067426884682,40.09383492867741,66.28642701954412,54.588306920247504,48,Pendidikan Teknik Mesin
STU_0013,80.49765993396075,65.11538344118148,92.06129363099085,56.66924487500481,87.70038640164877,65.81007697464266,66.95560232334367,67.34639712239334,52.25002598584938,70.48956340989064,80.52256972419565,81.04316476973781,63.40725655787804,34.62575842199787,54.86100016261607,67.28718446137427,64,Teknik Mesin
STU_0014,77.99842637729186,74.756713339798,59.99841583037127,79.00902304487596,81.85098336915529,90.0796661612786,89.69942667645374,57.09029821655781,60.870449441188285,74.59482249521898,70.23774683647972,77.56912492956245,20.051134655456146,42.078171110214186,59.62380855674604,54.393710765586405,67,Teknik Sipil
STU_0015,92.3014572636371,88.85843132604934,84.78755389811685,80.29035198668018,52.71151942509977,69.99231606792826,81.98027357731206,61.016995150388844,67.40545786940571,75.48270628495757,53.65338943845023,73.08648989176129,50.28718177359004,80.46296786574871,97.24827594000233,80.08767647288758,26,Pendidikan Ekonomi
STU_0016,84.32187605310725,72.42827546611547,93.1869445771778,86.08598187918169,89.81824857163842,89.95654684172376,59.6506899596285,70.49927734774424,52.22052342795001,77.57426268047412,68.58404709779923,80.04686064171872,37.14772382165186,11.101546561623032,60.11231040200802,58.50457470032039,63,Teknik Listrik
STU_0017,72.30065626606853,66.50671997654175,98.48181360421646,76.07472566441433,53.08674068497432,94.17861947054776,100.0,89.4220483871649,50.72882047664381,77.86446050339687,45.48975113880759,58.62316270239721,71.05984734776548,90.38906233004145,65.59644311533069,60.985985169908616,19,Pariwisata
STU_0018,89.25835130773825,100.0,76.01912052752266,73.7828591816238,77.86913500945764,100.0,81.00996225209505,86.61686013658309,91.16712258061688,86.19149011062638,39.189191125604985,61.83994799058469,36.839129861592724,51.632141495910155,67.75228896602702,78.40896511162838,16,Manajemen Pajak
STU_0019,100.0,48.62285860620747,73.87500866950184,82.23644089078407,77.93388614829045,67.90490624233229,73.29441074535542,68.59098784943518,65.74889340278104,73.13415472829865,75.83762501988022,60.37623683765888,46.362208143014975,67.94556809425256,94.03220179374422,55.14621401407781,2,Agrobisnis
STU_0020,94.06436240199453,98.31551067160173,99.6322384531648,65.38656697922713,79.35919254011101,82.3978334411766,56.143115864152655,77.34640257149412,88.99458133764513,82.40442269561863,65.19522516425229,62.48446327676579,90.91766001982857,75.38378408862405,69.05521979598632,43.39886734620509,68,Teknologi Kosmetik
STU_0021,71.72174287695468,87.33885884115298,66.17240323408392,83.95564595494999,65.93439306567186,70.64286380509947,99.86012931791961,90.78272499056301,67.07954899864785,78.16536789833816,58.63431731007191,54.725785494308674,65.10501576674446,88.1394766716696,80.14575810887871,76.17120900768894,12,Ilmu Komunikasi
STU_0022,73.07549566540622,66.64056943437333,98.01830552155103,68.42925044070577,74.43214515581438,44.27519111578182,73.10612619941679,87.84969448452422,68.5622787743291,72.7098951991003,44.638717858521105,67.71216713431821,53.231811851030464,86.76399891054689,49.854994741410295,71.08087104377994,25,Pendidikan Biologi
STU_0023,66.129546185438,76.42165417357025,97.25365871177098,88.02122031903251,77.39029725700608,85.88873006131743,62.65268033033501,61.18208321075164,62.85198145053248,75.31020574441715,42.029270680346926,81.32133639497806,25.55508878033433,88.84038736651206,81.37210909508431,74.94524605211645,17,Manajemen Perdagangan
STU_0024,80.60647773471678,68.8655921864677,61.10110166716819,59.43869136094172,92.88744935876247,82.40291300516368,77.72345921422067,67.49325854361646,82.65151666410692,74.79671774835161,40.492117453146065,32.23903335780493,72.1891199099497,82.98315052953365,63.42210389579584,59.336963104518304,6,Bahasa Dan Sastra Inggris
STU_0025,70.79615361295838,57.078590953323996,100.0,58.59618226259599,60.305507510488766,80.96445043153089,100.0,48.77558565406151,70.13075137876352,71.8496913115248,55.552691763693424,62.509798160641246,28.770593341080037,53.298955566806875,70.4211773836216,63.94586211429946,8,Ekonomi Pembangunan
STU_0026,74.87662441118903,77.5832570525363,79.90212248958926,39.668295581579734,61.381886538694644,74.58782736684488,75.27869554213024,78.37206101699603,78.232876064643,71.09818289602256,52.4459015793355,54.11666661049713,86.61334573215346,63.5457302930782,56.8318495772001,54.09106638270744,5,Animasi
STU_0027,77.56384321225468,80.68770484276374,85.96260829324446,58.25501071426983,52.52240160970129,92.60979868468061,80.3200821557347,65.26967502476481,95.71612765731533,76.54525024385882,40.0629243966182,55.5637671251769,84.59921434224907,67.47419918816999,57.18855484740887,48.291446179744476,5,Animasi
STU_0028,74.7708667448526,94.35758726049824,84.04520269568182,65.92889542519414,64.86537042063401,57.22952275481319,93.77640429576354,88.63276272295384,83.62922178958146,78.58175934555254,51.3880956115143,52.0396748348877,93.83894223714147,87.31895815862494,81.99305759009782,47.75540103285414,50,Pendidikan Vokasional Seni Kuliner
STU_0029,75.66395685747024,93.45574870806868,77.3717930810227,80.2054784661276,47.15258694292359,92.47098248691103,79.88264488389139,61.540927443322516,89.85094111613274,77.51056222065228,15.649229738872137,73.53564166356365,81.84109944913648,81.4177114809752,97.87088684312393,52.7312278511659,52,Pendidikan Tari
